THE 2000 MOST COMMON FRENCH WORDS
===================================
Based on frequency analysis from spoken French (subtitles corpus)

This list represents the 2000 most frequently used words in spoken French, ranked by frequency of use.
Learning these words will give you approximately 80-90% text coverage in everyday conversation.

Note: These words are presented as they commonly appear (lemmas/word families), not separated into every conjugation.

---

RANK | FRENCH | ENGLISH
1406 | mener | lead
1407 | conseiller | advise
1408 | influencer | influence
1409 | identifier | identify
1410 | préparer | prepare
1411 | acheter | buy
1412 | vendre | sell
1413 | voyager | travel
1414 | nager | swim
1415 | courir | run
1416 | danser | dance
1417 | chanter | sing
1418 | rire | laugh
1419 | pleurer | cry
1420 | sourire | smile
1421 | manger | eat
1422 | boire | drink
1423 | dormir | sleep
1424 | réveiller | wake
1425 | laver | wash
1426 | nettoyer | clean
1427 | cuisiner | cook
1428 | conduire | drive
1429 | voler | fly
1430 | marcher | walk
1431 | arrêter | stop
1432 | commencer | begin
1433 | finir | finish
1434 | continuer | continue
1435 | grandir | grow
1436 | naître | be born
1437 | mourir | die
1438 | vivre | live
1439 | exister | exist
1440 | aimer | love
1441 | détester | hate
1442 | préférer | prefer
1443 | espérer | hope
1444 | souhaiter | wish
1445 | vouloir | want
1446 | désirer | desire
1447 | pouvoir | can
1448 | devoir | must
1449 | falloir | need
1450 | savoir | know
1451 | connaître | know
1452 | comprendre | understand
1453 | apprendre | learn
1454 | enseigner | teach
1455 | étudier | study
1456 | lire | read
1457 | écrire | write
1458 | parler | speak
1459 | dire | say
1460 | raconter | tell
1461 | demander | ask
1462 | répondre | answer
1463 | écouter | listen
1464 | entendre | hear
1465 | regarder | look
1466 | voir | see
1467 | observer | observe
1468 | chercher | search
1469 | trouver | find
1470 | perdre | lose
1471 | gagner | win
1472 | jouer | play
1473 | travailler | work
1474 | reposer | rest
1475 | attendre | wait
1476 | penser | think
1477 | croire | believe
1478 | oublier | forget
1479 | rappeler | remember
1480 | imaginer | imagine
1481 | rêver | dream
1482 | sentir | feel
1483 | toucher | touch
1484 | tenir | hold
1485 | prendre | take
1486 | donner | give
1487 | recevoir | receive
1488 | envoyer | send
1489 | porter | carry
1490 | mettre | put
1491 | enlever | remove
1492 | ouvrir | open
1493 | fermer | close
1494 | pousser | push
1495 | tirer | pull
1496 | lever | raise
1497 | baisser | lower
1498 | monter | go up
1499 | descendre | go down
1500 | entrer | enter
1501 | sortir | exit
1502 | arriver | arrive
1503 | partir | leave
1504 | venir | come
1505 | aller | go
1506 | retourner | return
1507 | rester | stay
1508 | habiter | live
1509 | visiter | visit
1510 | rencontrer | meet
1511 | connaître | know
1512 | présenter | introduce
1513 | saluer | greet
1514 | inviter | invite
1515 | accepter | accept
1516 | refuser | refuse
1517 | offrir | offer
1518 | aider | help
1519 | sauver | save
1520 | protéger | protect
1521 | défendre | defend
1522 | attaquer | attack
1523 | tuer | kill
1524 | mourir | die
1525 | vivre | live
1526 | naître | be born
1527 | grandir | grow
1528 | vieillir | age
1529 | changer | change
1530 | rester | remain
1531 | devenir | become
1532 | paraître | appear
1533 | sembler | seem
1534 | ressembler | resemble
1535 | montrer | show
1536 | cacher | hide
1537 | révéler | reveal
1538 | découvrir | discover
1539 | inventer | invent
1540 | créer | create
1541 | construire | build
1542 | détruire | destroy
1543 | réparer | repair
1544 | casser | break
1545 | utiliser | use
1546 | employer | use
1547 | servir | serve
1548 | fonctionner | function
1549 | marcher | work
1550 | arrêter | stop
1551 | cesser | cease
1552 | continuer | continue
1553 | commencer | start
1554 | finir | finish
1555 | achever | complete
1556 | réussir | succeed
1557 | échouer | fail
1558 | essayer | try
1559 | tenter | attempt
1560 | risquer | risk
1561 | oser | dare
1562 | éviter | avoid
1563 | fuir | flee
1564 | suivre | follow
1565 | précéder | precede
1566 | accompagner | accompany
1567 | guider | guide
1568 | diriger | direct
1569 | commander | command
1570 | obéir | obey
1571 | désobéir | disobey
1572 | respecter | respect
1573 | honorer | honor
1574 | admirer | admire
1575 | mépriser | despise
1576 | haïr | hate
1577 | aimer | love
1578 | adorer | adore
1579 | préférer | prefer
1580 | choisir | choose
1581 | décider | decide
1582 | hésiter | hesitate
1583 | douter | doubt
1584 | être sûr | be sure
1585 | certifier | certify
1586 | garantir | guarantee
1587 | promettre | promise
1588 | jurer | swear
1589 | mentir | lie
1590 | tromper | deceive
1591 | voler | steal
1592 | acheter | buy
1593 | vendre | sell
1594 | payer | pay
1595 | coûter | cost
1596 | valoir | be worth
1597 | gagner | earn
1598 | perdre | lose
1599 | économiser | save
1600 | dépenser | spend
1601 | prêter | lend
1602 | emprunter | borrow
1603 | rendre | return
1604 | garder | keep
1605 | partager | share
1606 | distribuer | distribute
1607 | diviser | divide
1608 | multiplier | multiply
1609 | ajouter | add
1610 | soustraire | subtract
1611 | calculer | calculate
1612 | compter | count
1613 | mesurer | measure
1614 | peser | weigh
1615 | comparer | compare
1616 | égaler | equal
1617 | différer | differ
1618 | ressembler | resemble
1619 | signifier | mean
1620 | vouloir dire | mean
1621 | expliquer | explain
1622 | interpréter | interpret
1623 | traduire | translate
1624 | comprendre | understand
1625 | confondre | confuse
1626 | clarifier | clarify
1627 | simplifier | simplify
1628 | compliquer | complicate
1629 | faciliter | facilitate
1630 | difficile | difficult
1631 | facile | easy
1632 | simple | simple
1633 | compliqué | complicated
1634 | dur | hard
1635 | mou | soft
1636 | fort | strong
1637 | faible | weak
1638 | grand | big
1639 | petit | small
1640 | long | long
1641 | court | short
1642 | haut | high
1643 | bas | low
1644 | large | wide
1645 | étroit | narrow
1646 | épais | thick
1647 | mince | thin
1648 | lourd | heavy
1649 | léger | light
1650 | chaud | hot
1651 | froid | cold
1652 | tiède | warm
1653 | frais | fresh
1654 | sec | dry
1655 | humide | humid
1656 | mouillé | wet
1657 | propre | clean
1658 | sale | dirty
1659 | neuf | new
1660 | vieux | old
1661 | jeune | young
1662 | ancien | ancient
1663 | moderne | modern
1664 | rapide | fast
1665 | lent | slow
1666 | tôt | early
1667 | tard | late
1668 | proche | near
1669 | loin | far
1670 | ici | here
1671 | là | there
1672 | partout | everywhere
1673 | nulle part | nowhere
1674 | quelque part | somewhere
1675 | dehors | outside
1676 | dedans | inside
1677 | dessus | above
1678 | dessous | below
1679 | devant | in front
1680 | derrière | behind
1681 | avant | before
1682 | après | after
1683 | maintenant | now
1684 | alors | then
1685 | toujours | always
1686 | jamais | never
1687 | parfois | sometimes
1688 | souvent | often
1689 | rarement | rarely
1690 | aujourd'hui | today
1691 | hier | yesterday
1692 | demain | tomorrow
1693 | matin | morning
1694 | midi | noon
1695 | après-midi | afternoon
1696 | soir | evening
1697 | nuit | night
1698 | jour | day
1699 | semaine | week
1700 | mois | month
1701 | année | year
1702 | siècle | century
1703 | heure | hour
1704 | minute | minute
1705 | seconde | second
1706 | temps | time
1707 | moment | moment
1708 | instant | instant
1709 | période | period
1710 | époque | era
1711 | saison | season
1712 | printemps | spring
1713 | été | summer
1714 | automne | autumn
1715 | hiver | winter
1716 | lundi | Monday
1717 | mardi | Tuesday
1718 | mercredi | Wednesday
1719 | jeudi | Thursday
1720 | vendredi | Friday
1721 | samedi | Saturday
1722 | dimanche | Sunday
1723 | janvier | January
1724 | février | February
1725 | mars | March
1726 | avril | April
1727 | mai | May
1728 | juin | June
1729 | juillet | July
1730 | août | August
1731 | septembre | September
1732 | octobre | October
1733 | novembre | November
1734 | décembre | December
1735 | nord | north
1736 | sud | south
1737 | est | east
1738 | ouest | west
1739 | gauche | left
1740 | droite | right
1741 | centre | center
1742 | milieu | middle
1743 | côté | side
1744 | bord | edge
1745 | coin | corner
1746 | endroit | place
1747 | lieu | place
1748 | pays | country
1749 | ville | city
1750 | village | village
1751 | maison | house
1752 | appartement | apartment
1753 | chambre | room
1754 | cuisine | kitchen
1755 | salle | room
1756 | bureau | office
1757 | école | school
1758 | université | university
1759 | hôpital | hospital
1760 | église | church
1761 | magasin | store
1762 | restaurant | restaurant
1763 | hôtel | hotel
1764 | banque | bank
1765 | poste | post office
1766 | gare | station
1767 | aéroport | airport
1768 | rue | street
1769 | route | road
1770 | chemin | path
1771 | pont | bridge
1772 | porte | door
1773 | fenêtre | window
1774 | mur | wall
1775 | toit | roof
1776 | sol | floor
1777 | plafond | ceiling
1778 | escalier | stairs
1779 | ascenseur | elevator
1780 | jardin | garden
1781 | parc | park
1782 | forêt | forest
1783 | montagne | mountain
1784 | mer | sea
1785 | océan | ocean
1786 | rivière | river
1787 | lac | lake
1788 | plage | beach
1789 | île | island
1790 | ciel | sky
1791 | soleil | sun
1792 | lune | moon
1793 | étoile | star
1794 | nuage | cloud
1795 | pluie | rain
1796 | neige | snow
1797 | vent | wind
1798 | orage | storm
1799 | temps | weather
1800 | température | temperature
1801 | chaleur | heat
1802 | froid | cold
1803 | lumière | light
1804 | obscurité | darkness
1805 | ombre | shadow
1806 | couleur | color
1807 | blanc | white
1808 | noir | black
1809 | rouge | red
1810 | bleu | blue
1811 | vert | green
1812 | jaune | yellow
1813 | orange | orange
1814 | violet | purple
1815 | rose | pink
1816 | gris | gray
1817 | marron | brown
1818 | nombre | number
1819 | zéro | zero
1820 | un | one
1821 | deux | two
1822 | trois | three
1823 | quatre | four
1824 | cinq | five
1825 | six | six
1826 | sept | seven
1827 | huit | eight
1828 | neuf | nine
1829 | dix | ten
1830 | vingt | twenty
1831 | trente | thirty
1832 | quarante | forty
1833 | cinquante | fifty
1834 | soixante | sixty
1835 | cent | hundred
1836 | mille | thousand
1837 | million | million
1838 | premier | first
1839 | deuxième | second
1840 | troisième | third
1841 | dernier | last
1842 | tout | all
1843 | chaque | each
1844 | quelque | some
1845 | plusieurs | several
1846 | beaucoup | many
1847 | peu | few
1848 | assez | enough
1849 | trop | too much
1850 | plus | more
1851 | moins | less
1852 | très | very
1853 | aussi | also
1854 | même | same
1855 | autre | other
1856 | tel | such
1857 | pareil | similar
1858 | différent | different
1859 | semblable | alike
1860 | unique | unique
1861 | seul | alone
1862 | ensemble | together
1863 | famille | family
1864 | père | father
1865 | mère | mother
1866 | parent | parent
1867 | enfant | child
1868 | fils | son
1869 | fille | daughter
1870 | frère | brother
1871 | sœur | sister
1872 | grand-père | grandfather
1873 | grand-mère | grandmother
1874 | oncle | uncle
1875 | tante | aunt
1876 | cousin | cousin
1877 | mari | husband
1878 | femme | wife
1879 | époux | spouse
1880 | ami | friend
1881 | amie | friend
1882 | voisin | neighbor
1883 | étranger | stranger
1884 | homme | man
1885 | femme | woman
1886 | garçon | boy
1887 | fille | girl
1888 | bébé | baby
1889 | personne | person
1890 | gens | people
1891 | monde | world
1892 | vie | life
1893 | mort | death
1894 | naissance | birth
1895 | corps | body
1896 | tête | head
1897 | visage | face
1898 | œil | eye
1899 | yeux | eyes
1900 | nez | nose
1901 | bouche | mouth
1902 | oreille | ear
1903 | cheveu | hair
1904 | main | hand
1905 | doigt | finger
1906 | bras | arm
1907 | jambe | leg
1908 | pied | foot
1909 | cœur | heart
1910 | sang | blood
1911 | os | bone
1912 | peau | skin
1913 | voix | voice
1914 | nom | name
1915 | mot | word
1916 | phrase | sentence
1917 | langue | language
1918 | parole | word
1919 | question | question
1920 | réponse | answer
1921 | livre | book
1922 | page | page
1923 | lettre | letter
1924 | mot | word
1925 | histoire | story
1926 | nouvelle | news
1927 | journal | newspaper
1928 | article | article
1929 | photo | photo
1930 | image | image
1931 | dessin | drawing
1932 | peinture | painting
1933 | musique | music
1934 | chanson | song
1935 | danse | dance
1936 | art | art
1937 | film | film
1938 | cinéma | cinema
1939 | théâtre | theater
1940 | spectacle | show
1941 | jeu | game
1942 | sport | sport
1943 | travail | work
1944 | emploi | job
1945 | profession | profession
1946 | métier | trade
1947 | bureau | office
1948 | entreprise | company
1949 | affaire | business
1950 | argent | money
1951 | prix | price
1952 | valeur | value
1953 | coût | cost
1954 | salaire | salary
1955 | paie | pay
1956 | richesse | wealth
1957 | pauvreté | poverty
1958 | économie | economy
1959 | commerce | commerce
1960 | marché | market
1961 | produit | product
1962 | service | service
1963 | qualité | quality
1964 | quantité | quantity
1965 | mesure | measure
1966 | taille | size
1967 | poids | weight
1968 | distance | distance
1969 | vitesse | speed
1970 | force | strength
1971 | pouvoir | power
1972 | énergie | energy
1973 | loi | law
1974 | règle | rule
1975 | ordre | order
1976 | paix | peace
1977 | guerre | war
1978 | liberté | freedom
1979 | justice | justice
1980 | droit | right
1981 | devoir | duty
1982 | responsabilité | responsibility
1983 | faute | fault
1984 | crime | crime
1985 | danger | danger
1986 | sécurité | security
1987 | risque | risk
1988 | chance | luck
1989 | hasard | chance
1990 | sort | fate
1991 | destin | destiny
1992 | avenir | future
1993 | passé | past
1994 | présent | present
1995 | histoire | history
1996 | mémoire | memory
1997 | souvenir | memory
1998 | oubli | oblivion
1999 | rêve | dream
2000 | réalité | reality

===================================
END OF LIST

USAGE TIPS:
-----------
1. Start with the first 500 words - they're the absolute essentials
2. Use spaced repetition (Anki, Quizlet) to retain them
3. Learn words in context, not isolation
4. Focus on recognition first, production second
5. These are base forms - you'll need to learn conjugations/variations
6. Combine with immersion (listening, reading) for best results

Good luck with your move to France!
